"","foodExp_Cereals_Cash_Purchase","foodExp_Cereals_Credit_Purchase","foodExp_Cereals_NonPurchase_Bartering","foodExp_Cereals_NonPurchase_BorrowFromFamilyFriends","foodExp_Cereals_NonPurchase_Farming","foodExp_Cereals_NonPurchase_FishHuntGather","foodExp_Cereals_NonPurchase_Gifts","foodExp_Cereals_NonPurchase_NonPurchased","foodExp_Cereals_NonPurchase_SocialSafetyNets","foodExp_Tubers_Cash_Purchase","foodExp_Tubers_Credit_Purchase","foodExp_Tubers_NonPurchase_Bartering","foodExp_Tubers_NonPurchase_BorrowFromFamilyFriends","foodExp_Tubers_NonPurchase_Farming","foodExp_Tubers_NonPurchase_FishHuntGather","foodExp_Tubers_NonPurchase_Gifts","foodExp_Tubers_NonPurchase_NonPurchased","foodExp_Tubers_NonPurchase_SocialSafetyNets","foodExp_Pulses_Cash_Purchase","foodExp_Pulses_Credit_Purchase","foodExp_Pulses_NonPurchase_Bartering","foodExp_Pulses_NonPurchase_BorrowFromFamilyFriends","foodExp_Pulses_NonPurchase_Farming","foodExp_Pulses_NonPurchase_FishHuntGather","foodExp_Pulses_NonPurchase_Gifts","foodExp_Pulses_NonPurchase_NonPurchased","foodExp_Pulses_NonPurchase_SocialSafetyNets","foodExp_FruitsVeg_Cash_Purchase","foodExp_FruitsVeg_Credit_Purchase","foodExp_FruitsVeg_NonPurchase_Bartering","foodExp_FruitsVeg_NonPurchase_Farming","foodExp_FruitsVeg_NonPurchase_FishHuntGather","foodExp_FruitsVeg_NonPurchase_Gifts","foodExp_FruitsVeg_NonPurchase_NonPurchased","foodExp_FruitsVeg_NonPurchase_SocialSafetyNets","foodExp_Proteins_Cash_Purchase","foodExp_Proteins_Credit_Purchase","foodExp_Proteins_NonPurchase_BorrowFromFamilyFriends","foodExp_Proteins_NonPurchase_Farming","foodExp_Proteins_NonPurchase_FishHuntGather","foodExp_Proteins_NonPurchase_Gifts","foodExp_Proteins_NonPurchase_NonPurchased","foodExp_Proteins_NonPurchase_SocialSafetyNets","foodExp_Fats_Cash_Purchase","foodExp_Fats_Credit_Purchase","foodExp_Fats_NonPurchase_Bartering","foodExp_Fats_NonPurchase_Farming","foodExp_Fats_NonPurchase_FishHuntGather","foodExp_Fats_NonPurchase_Gifts","foodExp_Fats_NonPurchase_NonPurchased","foodExp_Fats_NonPurchase_SocialSafetyNets","foodExp_Dairy_Cash_Purchase","foodExp_Dairy_Credit_Purchase","foodExp_Dairy_NonPurchase_Bartering","foodExp_Dairy_NonPurchase_BorrowFromFamilyFriends","foodExp_Dairy_NonPurchase_Farming","foodExp_Dairy_NonPurchase_FishHuntGather","foodExp_Dairy_NonPurchase_Gifts","foodExp_Dairy_NonPurchase_NonPurchased","foodExp_Dairy_NonPurchase_SocialSafetyNets","foodExp_Sugars_Cash_Purchase","foodExp_Sugars_Credit_Purchase","foodExp_Sugars_NonPurchase_Bartering","foodExp_Sugars_NonPurchase_BorrowFromFamilyFriends","foodExp_Sugars_NonPurchase_Farming","foodExp_Sugars_NonPurchase_FishHuntGather","foodExp_Sugars_NonPurchase_Gifts","foodExp_Sugars_NonPurchase_NonPurchased","foodExp_Sugars_NonPurchase_SocialSafetyNets","foodExp_Tea_Cash_Purchase","foodExp_Tea_Credit_Purchase","foodExp_Tea_NonPurchase_BorrowFromFamilyFriends","foodExp_Tea_NonPurchase_Farming","foodExp_Tea_NonPurchase_FishHuntGather","foodExp_Tea_NonPurchase_Gifts","foodExp_Tea_NonPurchase_NonPurchased"
"2053",4500,,,,,,,,,,,,,,,,,,500,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2054",8000,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,350,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,
"2055",15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"2056",1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,
"2057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
"2058",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"2059",,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,150,,,,,,,,,,,,,,,
"2060",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2061",2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,
"2062",3000,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,
"2063",7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,
"2064",6500,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,
"2065",5000,,,,1000,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2066",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,
"2067",5000,2000,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,50,,,,,,,,,,,,,,,
"2068",5000,3000,,,1000,,,,,,,,,,,,,,3500,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2069",15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,
"2070",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
"2071",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,230,,,,,,,,,,,,,,,
"2072",2000,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2073",4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,
"2074",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,350,,,,,,,,,250,,,,,,,,,,,,,,,
"2075",4500,,,,,,,500,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2076",,,,,5000,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2077",7500,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"2078",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"2079",,,,,9000,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,50,,,,,,,,,,,,,,,
"2080",5000,,,,4000,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,1500,,50,,,,,,,,,100,,,,,,
"2081",17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,50,,,,,,,,,,,,,,,
"2083",900,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,
"2084",4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
"2085",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2086",,,,,,4500,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,20,,,,,,,,,,,,,,,
"2087",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,200,,,,,300,,,,,,,,,,,,,,,
"2088",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"2089",5000,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2090",6000,,,,,,,,,,,,,,,,,,1200,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
"2091",9000,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,90,,,,,,,,,,,,,,,
"2092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
"2093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,
"2094",1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
"2095",800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,150,,,,,,,,,,,,,,,
"2096",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,60,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"2097",,,,,2570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,
"2098",2500,,,,1000,,,,,258,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2099",2000,,,,1000,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
"2100",,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,280,,,,,,,,,,,,,,,
"2101",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,82,,,,,,,,,,,,,,,
"2102",4500,,,,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2103",4000,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,500,,,,,,,,,,,,,,,
"2104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"2105",800,,,,200,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
"2106",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2107",1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,200,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
"2108",2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"2109",,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,50,,,,,,,,,,,,,,,
"2110",2800,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,
"2111",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,10,,,,,,,,,,,,,,,
"2112",12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2113",4500,,,,4500,,,,,,,,,,,,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2114",14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"2115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
"2116",1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,
"2117",1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,40,,,,,,,,,,,,,,,
"2118",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,120,,,,,,
"2119",,,3000,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,20,,,,,,,,,,,,,,,
"2120",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2121",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,
"2122",2500,,,,4500,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2123",,,4500,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,20,,,,,,,,,,,,,,,
"2124",4500,,500,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,50,,,,,,,,,,,,,,,
"2125",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,
"2126",10000,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,
"2127",800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,
"2129",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2130",4000,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2131",7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2132",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
"2133",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2134",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2135",8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2136",10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2137",,,,,10000,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,
"2138",5000,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2139",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2141",22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2143",300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2144",2000,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2145",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"2146",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2147",2000,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2148",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"2149",,5000,1000,,,,,,,,,,,,,,,,200,,,,,,50,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2150",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"2151",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,40,,,,,,,,,,,,,,,
"2152",12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"2153",800,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2154",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"2155",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
"2156",6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"2157",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2158",,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,
"2159",9500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,
"2160",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2161",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,200,,,,,,,,,,,,,,,
"2162",4000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"2163",15000,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,
"2164",25000,,,,18000,,,,,,,,,3000,,,,,500,,,,,,,600,,200,,,150,,,,,2000,,,5000,,,,,,,,500,,,,,,,,,2000,,,,,1500,,,,,,,,,700,,,,,,800
"2165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2166",,,,,3000,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,500,,,,,,,,,,,,,,,,200,,,,,,,600,,,,,,,,,,,,,,,,,
"2167",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2168",,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,200,,,,,,,,,,,,,,,,,
"2169",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,200,,,,,,,,,,,,,,,
"2170",,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,
"2171",,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,
"2172",,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2173",,,,,10000,,,,,,,,,,,,,,,,,,,,,500,,,,,200,,,,,,,,,,,,,,,,,,,,,200,,,,500,,,,,,,,,,,,,,,,,,,,
"2174",,,,,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,5,,,,,,,,,,,,,,,
"2175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"2176",500,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2177",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,200,,,,,,,,,,,,,,,
"2179",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"2180",5000,900,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,
"2181",7000,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,
"2182",15000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,300,,,,,,
"2183",60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
"2184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
"2185",13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,200,,,,,,,,,,,,,,,
"2186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
"2187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2189",700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,
"2190",1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,400,100,,,,,,,,,,,,,,
"2191",1500,1600,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,
"2192",,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,250,,,,,,,,,,,,,,
"2193",35000,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,15,,,,,,,,,,,,,,
"2194",8000,30000,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,200,,,,,,,,600,,,,,,,,,,,,,,,
"2195",,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,
"2196",8000,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,200,,,,,,,,,,,,,,,
"2197",,6000,,,,,,,,,8,,,,,8,,,,,,,6000,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,350,,,,,760,,,,,,,,,,,,,,,
